iter	MultiClass
0	1.047312893
1	1.007429339
2	0.9711217632
3	0.9429431453
4	0.9151641027
5	0.890506812
6	0.870390301
7	0.8509531765
8	0.8327345009
9	0.8175657238
10	0.8034888917
11	0.7912079825
12	0.7794429876
13	0.7680380008
14	0.7571804694
15	0.7482160847
16	0.7381656809
17	0.7294203839
18	0.7209554664
19	0.7140710808
20	0.7064094904
21	0.6986419643
22	0.6921292217
23	0.6859567178
24	0.6796861508
25	0.6739798368
26	0.6687278793
27	0.6640014678
28	0.6593392562
29	0.6555982113
30	0.6512414282
31	0.6478535957
32	0.6433768577
33	0.6395729977
34	0.6369693515
35	0.6334205086
36	0.6301616905
37	0.6265889947
38	0.6233648183
39	0.6201186092
40	0.6170507531
41	0.6145880911
42	0.6114677664
43	0.6093566224
44	0.606971603
45	0.604437138
46	0.602274064
47	0.5998368547
48	0.5978559436
49	0.5961614275
50	0.5946474207
51	0.5932024295
52	0.5910873302
53	0.5889475281
54	0.5875638309
55	0.5858419696
56	0.5842178357
57	0.5826931501
58	0.5811359597
59	0.579788978
60	0.5787095433
61	0.577788558
62	0.5762059017
63	0.5748084014
64	0.5732660382
65	0.5718197156
66	0.5702375351
67	0.5693571097
68	0.5684905746
69	0.5670806918
70	0.5657592455
71	0.5644446241
72	0.5632804322
73	0.5621204019
74	0.560724031
75	0.5596833968
76	0.5583785571
77	0.5576012017
78	0.5567633935
79	0.5558046178
80	0.5549730677
81	0.5539185776
82	0.5530751268
83	0.552287142
84	0.5516230953
85	0.5505566546
86	0.5496660279
87	0.5485185492
88	0.5478926417
89	0.5466102971
90	0.5461037231
91	0.5455786933
92	0.5447804814
93	0.5438248684
94	0.5431146534
95	0.5425306999
96	0.5415060511
97	0.540692577
98	0.5399951895
99	0.5388662354
100	0.5384446028
101	0.5374406935
102	0.5367353218
103	0.5360421843
104	0.535591802
105	0.5348598321
106	0.534367131
107	0.5335732322
108	0.5330183272
109	0.5325271553
110	0.5319976732
111	0.5316293206
112	0.5308537125
113	0.5303249536
114	0.5297248196
115	0.5291344169
116	0.5286165634
117	0.5279977119
118	0.5274549849
119	0.5269233412
120	0.5265177057
121	0.525757464
122	0.5250323306
123	0.5246433059
124	0.5240010716
125	0.5233023087
126	0.5230215261
127	0.5226927443
128	0.5224755809
129	0.5220554698
130	0.5214697719
131	0.5209011892
132	0.5204972893
133	0.5199954041
134	0.519477338
135	0.5190809469
136	0.5186061957
137	0.5181562193
138	0.5177238537
139	0.517256941
